input_prompt,enhanced_prompt
a scientist in mountain temple,"(scientist:1.25) in mountain temple, Impressionist style, unreal engine 5, ray traced, volumetric lighting"
a samurai in underwater city,"(samurai:1.25) in underwater city, Dark Fantasy style, muted tones, 8k resolution, octane render, dramatic shadows"
a wizard in ancient ruins,"(wizard:1.25) in ancient ruins, Dark Fantasy style, vibrant colors, unreal engine 5, octane render"
a astronaut in cybernetic lab,"(astronaut:1.25) in cybernetic lab, Dark Fantasy style, ray traced, 8k resolution, dramatic shadows, octane render"
a old man in mars base,"(old man:1.25) in mars base, Vaporwave style, octane render, vibrant colors, ray traced"
a forest spirit in dreamscape,"(forest spirit:1.25) in dreamscape, Vaporwave style, ray traced, intricate textures, dramatic shadows"
a wizard in stellar nebula,"(wizard:1.25) in stellar nebula, Minimalist style, ethereal atmosphere, unreal engine 5, sharp focus, masterpiece quality, ray traced"
a scientist in neon city,"(scientist:1.25) in neon city, Minimalist style, 8k resolution, soft bokeh, masterpiece quality"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Dark Fantasy style, unreal engine 5, vibrant colors, masterpiece quality, dramatic shadows"
a explorer in stellar nebula,"(explorer:1.25) in stellar nebula, Cinematic style, sharp focus, masterpiece quality, 8k resolution"
a cyberpunk girl in cybernetic lab,"(cyberpunk girl:1.25) in cybernetic lab, Anime style, majestic scale, hyper detailed, ethereal atmosphere"
a old man in cybernetic lab,"(old man:1.25) in cybernetic lab, Photoreal style, ray traced, ethereal atmosphere, hyper detailed"
a samurai in mars base,"(samurai:1.25) in mars base, Minimalist style, volumetric lighting, vibrant colors, hyper detailed"
a old man in mars base,"(old man:1.25) in mars base, Steampunk style, soft bokeh, ethereal atmosphere, sharp focus"
a cyberpunk girl in desert oasis,"(cyberpunk girl:1.25) in desert oasis, Photoreal style, vibrant colors, ray traced, octane render, soft bokeh, sharp focus"
a dragon in ancient ruins,"(dragon:1.25) in ancient ruins, Photoreal style, muted tones, volumetric lighting, soft bokeh"
a scientist in frozen tundra,"(scientist:1.25) in frozen tundra, Renaissance style, ray traced, majestic scale, masterpiece quality"
a cat in space station,"(cat:1.25) in space station, Cyberpunk style, ray traced, hyper detailed, muted tones"
a explorer in space station,"(explorer:1.25) in space station, Impressionist style, ray traced, unreal engine 5, majestic scale"
a dragon in volcano,"(dragon:1.25) in volcano, Vaporwave style, hyper detailed, intricate textures, ray traced, vibrant colors"
a demon in space station,"(demon:1.25) in space station, Impressionist style, ethereal atmosphere, ray traced, 8k resolution, sharp focus, unreal engine 5"
a warrior in neon city,"(warrior:1.25) in neon city, Steampunk style, ethereal atmosphere, majestic scale, volumetric lighting, masterpiece quality"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Cinematic style, volumetric lighting, unreal engine 5, muted tones, intricate textures"
a nomad in frozen tundra,"(nomad:1.25) in frozen tundra, Anime style, soft bokeh, volumetric lighting, unreal engine 5, dramatic shadows, majestic scale"
a demon in neon city,"(demon:1.25) in neon city, Cyberpunk style, majestic scale, muted tones, unreal engine 5"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Dark Fantasy style, 8k resolution, octane render, unreal engine 5"
a nomad in frozen tundra,"(nomad:1.25) in frozen tundra, Impressionist style, majestic scale, ethereal atmosphere, unreal engine 5, vibrant colors, intricate textures"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Vaporwave style, 8k resolution, majestic scale, ray traced, ethereal atmosphere, volumetric lighting"
a warrior in ancient ruins,"(warrior:1.25) in ancient ruins, Cyberpunk style, octane render, ray traced, 8k resolution"
a old man in ancient ruins,"(old man:1.25) in ancient ruins, Photoreal style, vibrant colors, ray traced, sharp focus"
a warrior in mars base,"(warrior:1.25) in mars base, Vaporwave style, octane render, intricate textures, 8k resolution, sharp focus, dramatic shadows"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Steampunk style, octane render, sharp focus, volumetric lighting, ray traced, majestic scale"
a old man in desert oasis,"(old man:1.25) in desert oasis, Impressionist style, ray traced, majestic scale, vibrant colors, ethereal atmosphere, octane render"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Impressionist style, volumetric lighting, unreal engine 5, 8k resolution, ethereal atmosphere"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Minimalist style, ray traced, vibrant colors, muted tones"
a explorer in desert oasis,"(explorer:1.25) in desert oasis, Minimalist style, majestic scale, unreal engine 5, intricate textures"
a astronaut in mars base,"(astronaut:1.25) in mars base, Photoreal style, octane render, muted tones, unreal engine 5, intricate textures"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Renaissance style, octane render, intricate textures, 8k resolution, majestic scale"
a samurai in stellar nebula,"(samurai:1.25) in stellar nebula, Steampunk style, soft bokeh, masterpiece quality, muted tones, intricate textures"
a monk in dreamscape,"(monk:1.25) in dreamscape, Cinematic style, majestic scale, ethereal atmosphere, sharp focus, intricate textures, hyper detailed"
a wizard in stellar nebula,"(wizard:1.25) in stellar nebula, Cinematic style, unreal engine 5, volumetric lighting, intricate textures, ray traced"
a cat in frozen tundra,"(cat:1.25) in frozen tundra, Cinematic style, vibrant colors, soft bokeh, unreal engine 5, masterpiece quality, sharp focus"
a demon in frozen tundra,"(demon:1.25) in frozen tundra, Vaporwave style, soft bokeh, 8k resolution, hyper detailed, sharp focus"
a samurai in ancient ruins,"(samurai:1.25) in ancient ruins, Cinematic style, intricate textures, majestic scale, hyper detailed"
a demon in desert oasis,"(demon:1.25) in desert oasis, Steampunk style, octane render, dramatic shadows, 8k resolution"
a goddess in space station,"(goddess:1.25) in space station, Steampunk style, hyper detailed, 8k resolution, octane render"
a scientist in mountain temple,"(scientist:1.25) in mountain temple, Anime style, majestic scale, ray traced, intricate textures"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Vaporwave style, majestic scale, muted tones, volumetric lighting, hyper detailed"
a cat in floating island,"(cat:1.25) in floating island, Impressionist style, majestic scale, intricate textures, sharp focus, 8k resolution"
a cyberpunk girl in mars base,"(cyberpunk girl:1.25) in mars base, Dark Fantasy style, volumetric lighting, ray traced, muted tones"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Renaissance style, ethereal atmosphere, sharp focus, volumetric lighting, masterpiece quality"
a old man in neon city,"(old man:1.25) in neon city, Minimalist style, ray traced, majestic scale, soft bokeh, hyper detailed, dramatic shadows"
a mechanic in deep forest,"(mechanic:1.25) in deep forest, Dark Fantasy style, vibrant colors, dramatic shadows, volumetric lighting, octane render, masterpiece quality"
a warrior in mars base,"(warrior:1.25) in mars base, Cyberpunk style, sharp focus, hyper detailed, masterpiece quality, soft bokeh"
a astronaut in underwater city,"(astronaut:1.25) in underwater city, Anime style, hyper detailed, majestic scale, sharp focus"
a knight in dreamscape,"(knight:1.25) in dreamscape, Photoreal style, hyper detailed, volumetric lighting, intricate textures"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Anime style, unreal engine 5, intricate textures, volumetric lighting, ray traced"
a robot in neon city,"(robot:1.25) in neon city, Photoreal style, intricate textures, volumetric lighting, 8k resolution"
a cyberpunk girl in mountain temple,"(cyberpunk girl:1.25) in mountain temple, Vaporwave style, volumetric lighting, intricate textures, muted tones, majestic scale"
a nomad in deep forest,"(nomad:1.25) in deep forest, Anime style, octane render, majestic scale, vibrant colors, sharp focus, soft bokeh"
a knight in floating island,"(knight:1.25) in floating island, Impressionist style, unreal engine 5, majestic scale, hyper detailed, octane render, sharp focus"
a samurai in volcano,"(samurai:1.25) in volcano, Cinematic style, volumetric lighting, hyper detailed, majestic scale"
a robot in medieval village,"(robot:1.25) in medieval village, Anime style, ethereal atmosphere, intricate textures, volumetric lighting, sharp focus"
a forest spirit in mountain temple,"(forest spirit:1.25) in mountain temple, Impressionist style, 8k resolution, intricate textures, unreal engine 5"
a dragon in mars base,"(dragon:1.25) in mars base, Renaissance style, dramatic shadows, vibrant colors, 8k resolution, majestic scale, intricate textures"
a goddess in ancient ruins,"(goddess:1.25) in ancient ruins, Minimalist style, vibrant colors, 8k resolution, masterpiece quality, ethereal atmosphere"
a forest spirit in space station,"(forest spirit:1.25) in space station, Dark Fantasy style, intricate textures, hyper detailed, soft bokeh, sharp focus"
a old man in neon city,"(old man:1.25) in neon city, Renaissance style, ethereal atmosphere, ray traced, hyper detailed, vibrant colors"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Impressionist style, octane render, ray traced, majestic scale, masterpiece quality, sharp focus"
a nomad in floating island,"(nomad:1.25) in floating island, Steampunk style, muted tones, soft bokeh, 8k resolution"
a cat in stellar nebula,"(cat:1.25) in stellar nebula, Dark Fantasy style, ray traced, volumetric lighting, muted tones"
a nomad in space station,"(nomad:1.25) in space station, Dark Fantasy style, ray traced, intricate textures, vibrant colors"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Photoreal style, masterpiece quality, unreal engine 5, ethereal atmosphere, hyper detailed, ray traced"
a demon in frozen tundra,"(demon:1.25) in frozen tundra, Cinematic style, intricate textures, ethereal atmosphere, ray traced, soft bokeh"
a samurai in medieval village,"(samurai:1.25) in medieval village, Cyberpunk style, unreal engine 5, volumetric lighting, masterpiece quality, 8k resolution, ray traced"
a samurai in medieval village,"(samurai:1.25) in medieval village, Steampunk style, muted tones, majestic scale, ray traced"
a wizard in medieval village,"(wizard:1.25) in medieval village, Steampunk style, hyper detailed, muted tones, ray traced, ethereal atmosphere, sharp focus"
a knight in space station,"(knight:1.25) in space station, Impressionist style, hyper detailed, unreal engine 5, dramatic shadows, ray traced"
a samurai in floating island,"(samurai:1.25) in floating island, Vaporwave style, volumetric lighting, soft bokeh, ethereal atmosphere, unreal engine 5, hyper detailed"
a cyberpunk girl in frozen tundra,"(cyberpunk girl:1.25) in frozen tundra, Renaissance style, 8k resolution, hyper detailed, volumetric lighting, majestic scale, ray traced"
a samurai in volcano,"(samurai:1.25) in volcano, Anime style, muted tones, soft bokeh, hyper detailed, unreal engine 5, vibrant colors"
a scientist in mars base,"(scientist:1.25) in mars base, Photoreal style, masterpiece quality, sharp focus, octane render"
a dragon in mars base,"(dragon:1.25) in mars base, Minimalist style, 8k resolution, masterpiece quality, majestic scale"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Impressionist style, muted tones, soft bokeh, sharp focus, dramatic shadows"
a cat in deep forest,"(cat:1.25) in deep forest, Dark Fantasy style, intricate textures, dramatic shadows, unreal engine 5, soft bokeh"
a goddess in ancient ruins,"(goddess:1.25) in ancient ruins, Dark Fantasy style, intricate textures, majestic scale, ethereal atmosphere, muted tones"
a scientist in stellar nebula,"(scientist:1.25) in stellar nebula, Photoreal style, majestic scale, masterpiece quality, sharp focus, ethereal atmosphere, intricate textures"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Vaporwave style, octane render, hyper detailed, ethereal atmosphere"
a cat in underwater city,"(cat:1.25) in underwater city, Dark Fantasy style, volumetric lighting, intricate textures, octane render"
a mechanic in desert oasis,"(mechanic:1.25) in desert oasis, Steampunk style, volumetric lighting, soft bokeh, ray traced, sharp focus, majestic scale"
a explorer in underwater city,"(explorer:1.25) in underwater city, Impressionist style, ethereal atmosphere, masterpiece quality, muted tones, soft bokeh"
a samurai in space station,"(samurai:1.25) in space station, Minimalist style, muted tones, majestic scale, 8k resolution, ethereal atmosphere, sharp focus"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Renaissance style, dramatic shadows, soft bokeh, vibrant colors, ethereal atmosphere, ray traced"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Steampunk style, volumetric lighting, soft bokeh, hyper detailed"
a dragon in volcano,"(dragon:1.25) in volcano, Photoreal style, octane render, sharp focus, ray traced, hyper detailed, volumetric lighting"
a knight in dreamscape,"(knight:1.25) in dreamscape, Cinematic style, unreal engine 5, muted tones, hyper detailed"
a queen in cybernetic lab,"(queen:1.25) in cybernetic lab, Steampunk style, soft bokeh, ethereal atmosphere, majestic scale"
a queen in medieval village,"(queen:1.25) in medieval village, Cyberpunk style, dramatic shadows, majestic scale, octane render, ray traced, unreal engine 5"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Minimalist style, muted tones, 8k resolution, ethereal atmosphere, octane render"
a nomad in ancient ruins,"(nomad:1.25) in ancient ruins, Impressionist style, vibrant colors, masterpiece quality, ethereal atmosphere"
a nomad in desert oasis,"(nomad:1.25) in desert oasis, Cyberpunk style, ethereal atmosphere, unreal engine 5, masterpiece quality"
a demon in deep forest,"(demon:1.25) in deep forest, Dark Fantasy style, sharp focus, soft bokeh, volumetric lighting, unreal engine 5, dramatic shadows"
a robot in desert oasis,"(robot:1.25) in desert oasis, Minimalist style, hyper detailed, soft bokeh, vibrant colors, 8k resolution, majestic scale"
a queen in volcano,"(queen:1.25) in volcano, Anime style, ethereal atmosphere, intricate textures, soft bokeh"
a nomad in cybernetic lab,"(nomad:1.25) in cybernetic lab, Cinematic style, vibrant colors, intricate textures, unreal engine 5"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Cinematic style, muted tones, soft bokeh, volumetric lighting, 8k resolution, dramatic shadows"
a cat in cybernetic lab,"(cat:1.25) in cybernetic lab, Minimalist style, unreal engine 5, octane render, 8k resolution, majestic scale, dramatic shadows"
a cyberpunk girl in mars base,"(cyberpunk girl:1.25) in mars base, Dark Fantasy style, muted tones, vibrant colors, 8k resolution"
a astronaut in desert oasis,"(astronaut:1.25) in desert oasis, Cyberpunk style, unreal engine 5, muted tones, masterpiece quality"
a samurai in cybernetic lab,"(samurai:1.25) in cybernetic lab, Impressionist style, muted tones, ethereal atmosphere, sharp focus, unreal engine 5, masterpiece quality"
a demon in stellar nebula,"(demon:1.25) in stellar nebula, Cinematic style, unreal engine 5, masterpiece quality, intricate textures"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Cinematic style, hyper detailed, unreal engine 5, vibrant colors, majestic scale"
a robot in space station,"(robot:1.25) in space station, Renaissance style, 8k resolution, dramatic shadows, masterpiece quality"
a samurai in dreamscape,"(samurai:1.25) in dreamscape, Dark Fantasy style, soft bokeh, unreal engine 5, 8k resolution"
a cat in cybernetic lab,"(cat:1.25) in cybernetic lab, Steampunk style, soft bokeh, majestic scale, sharp focus"
a robot in mountain temple,"(robot:1.25) in mountain temple, Cinematic style, 8k resolution, ray traced, octane render, volumetric lighting"
a demon in cybernetic lab,"(demon:1.25) in cybernetic lab, Steampunk style, unreal engine 5, dramatic shadows, intricate textures"
a queen in deep forest,"(queen:1.25) in deep forest, Photoreal style, hyper detailed, 8k resolution, majestic scale"
a dragon in stellar nebula,"(dragon:1.25) in stellar nebula, Cyberpunk style, masterpiece quality, ethereal atmosphere, soft bokeh, octane render, 8k resolution"
a angel in deep forest,"(angel:1.25) in deep forest, Cinematic style, ethereal atmosphere, intricate textures, muted tones, masterpiece quality, vibrant colors"
a cyberpunk girl in space station,"(cyberpunk girl:1.25) in space station, Impressionist style, soft bokeh, ethereal atmosphere, dramatic shadows"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Cyberpunk style, ray traced, volumetric lighting, vibrant colors"
a samurai in volcano,"(samurai:1.25) in volcano, Minimalist style, intricate textures, majestic scale, ray traced, sharp focus"
a dragon in medieval village,"(dragon:1.25) in medieval village, Renaissance style, unreal engine 5, volumetric lighting, hyper detailed"
a robot in medieval village,"(robot:1.25) in medieval village, Steampunk style, masterpiece quality, soft bokeh, sharp focus, 8k resolution"
a old man in cybernetic lab,"(old man:1.25) in cybernetic lab, Vaporwave style, soft bokeh, ethereal atmosphere, dramatic shadows, muted tones"
a knight in space station,"(knight:1.25) in space station, Vaporwave style, intricate textures, muted tones, sharp focus, majestic scale, masterpiece quality"
a robot in floating island,"(robot:1.25) in floating island, Anime style, 8k resolution, masterpiece quality, vibrant colors"
a cat in underwater city,"(cat:1.25) in underwater city, Vaporwave style, ethereal atmosphere, masterpiece quality, hyper detailed, majestic scale"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Vaporwave style, vibrant colors, dramatic shadows, octane render"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Vaporwave style, muted tones, ray traced, 8k resolution, intricate textures"
a monk in dreamscape,"(monk:1.25) in dreamscape, Minimalist style, hyper detailed, sharp focus, soft bokeh"
a old man in mountain temple,"(old man:1.25) in mountain temple, Steampunk style, dramatic shadows, muted tones, ethereal atmosphere"
a nomad in medieval village,"(nomad:1.25) in medieval village, Anime style, octane render, muted tones, hyper detailed"
a queen in neon city,"(queen:1.25) in neon city, Anime style, 8k resolution, sharp focus, hyper detailed, volumetric lighting"
a mechanic in stellar nebula,"(mechanic:1.25) in stellar nebula, Vaporwave style, vibrant colors, unreal engine 5, hyper detailed, 8k resolution"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Impressionist style, sharp focus, soft bokeh, hyper detailed, majestic scale"
a goddess in floating island,"(goddess:1.25) in floating island, Steampunk style, muted tones, ethereal atmosphere, intricate textures, hyper detailed"
a scientist in floating island,"(scientist:1.25) in floating island, Vaporwave style, hyper detailed, muted tones, octane render"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Renaissance style, 8k resolution, muted tones, soft bokeh, ethereal atmosphere"
a demon in mars base,"(demon:1.25) in mars base, Cyberpunk style, intricate textures, volumetric lighting, muted tones, dramatic shadows, majestic scale"
a cat in medieval village,"(cat:1.25) in medieval village, Cinematic style, ethereal atmosphere, dramatic shadows, muted tones, masterpiece quality"
a queen in mars base,"(queen:1.25) in mars base, Cyberpunk style, muted tones, soft bokeh, masterpiece quality, 8k resolution"
a old man in underwater city,"(old man:1.25) in underwater city, Steampunk style, soft bokeh, muted tones, ray traced"
a mechanic in deep forest,"(mechanic:1.25) in deep forest, Cinematic style, octane render, majestic scale, hyper detailed, vibrant colors, 8k resolution"
a scientist in neon city,"(scientist:1.25) in neon city, Photoreal style, intricate textures, masterpiece quality, vibrant colors, majestic scale"
a dragon in mountain temple,"(dragon:1.25) in mountain temple, Steampunk style, unreal engine 5, soft bokeh, muted tones"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Cinematic style, octane render, intricate textures, ray traced, hyper detailed, sharp focus"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Cinematic style, sharp focus, ray traced, volumetric lighting"
a monk in dreamscape,"(monk:1.25) in dreamscape, Steampunk style, octane render, ethereal atmosphere, muted tones, 8k resolution"
a scientist in ancient ruins,"(scientist:1.25) in ancient ruins, Dark Fantasy style, ethereal atmosphere, masterpiece quality, muted tones, vibrant colors"
a cyberpunk girl in stellar nebula,"(cyberpunk girl:1.25) in stellar nebula, Cinematic style, intricate textures, hyper detailed, dramatic shadows"
a astronaut in space station,"(astronaut:1.25) in space station, Cyberpunk style, octane render, masterpiece quality, dramatic shadows, majestic scale"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Cyberpunk style, muted tones, ethereal atmosphere, ray traced, sharp focus"
a scientist in floating island,"(scientist:1.25) in floating island, Minimalist style, ethereal atmosphere, muted tones, unreal engine 5"
a cyberpunk girl in stellar nebula,"(cyberpunk girl:1.25) in stellar nebula, Cinematic style, majestic scale, unreal engine 5, octane render, vibrant colors"
a angel in stellar nebula,"(angel:1.25) in stellar nebula, Photoreal style, intricate textures, 8k resolution, octane render, ethereal atmosphere, volumetric lighting"
a monk in stellar nebula,"(monk:1.25) in stellar nebula, Renaissance style, muted tones, majestic scale, dramatic shadows"
a robot in dreamscape,"(robot:1.25) in dreamscape, Photoreal style, octane render, dramatic shadows, ray traced, hyper detailed"
a demon in medieval village,"(demon:1.25) in medieval village, Cinematic style, sharp focus, soft bokeh, intricate textures, muted tones"
a astronaut in mountain temple,"(astronaut:1.25) in mountain temple, Impressionist style, muted tones, vibrant colors, octane render"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Photoreal style, dramatic shadows, octane render, intricate textures"
a warrior in floating island,"(warrior:1.25) in floating island, Minimalist style, dramatic shadows, octane render, ethereal atmosphere"
a old man in frozen tundra,"(old man:1.25) in frozen tundra, Impressionist style, sharp focus, ethereal atmosphere, vibrant colors, soft bokeh, dramatic shadows"
a demon in deep forest,"(demon:1.25) in deep forest, Vaporwave style, masterpiece quality, 8k resolution, intricate textures, muted tones"
a goddess in underwater city,"(goddess:1.25) in underwater city, Cinematic style, dramatic shadows, volumetric lighting, ethereal atmosphere"
a monk in cybernetic lab,"(monk:1.25) in cybernetic lab, Cyberpunk style, ray traced, majestic scale, 8k resolution, volumetric lighting"
a dragon in frozen tundra,"(dragon:1.25) in frozen tundra, Vaporwave style, intricate textures, dramatic shadows, hyper detailed, majestic scale"
a knight in mars base,"(knight:1.25) in mars base, Cinematic style, unreal engine 5, masterpiece quality, dramatic shadows, ethereal atmosphere, 8k resolution"
a samurai in frozen tundra,"(samurai:1.25) in frozen tundra, Photoreal style, dramatic shadows, hyper detailed, muted tones"
a mechanic in volcano,"(mechanic:1.25) in volcano, Impressionist style, dramatic shadows, muted tones, majestic scale, octane render"
a goddess in volcano,"(goddess:1.25) in volcano, Renaissance style, muted tones, masterpiece quality, vibrant colors, intricate textures, sharp focus"
a old man in cybernetic lab,"(old man:1.25) in cybernetic lab, Steampunk style, hyper detailed, ray traced, intricate textures, dramatic shadows, unreal engine 5"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Photoreal style, hyper detailed, ethereal atmosphere, octane render, intricate textures, majestic scale"
a old man in cybernetic lab,"(old man:1.25) in cybernetic lab, Minimalist style, majestic scale, volumetric lighting, vibrant colors, ethereal atmosphere, soft bokeh"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Vaporwave style, sharp focus, majestic scale, 8k resolution, soft bokeh, hyper detailed"
a warrior in ancient ruins,"(warrior:1.25) in ancient ruins, Minimalist style, unreal engine 5, volumetric lighting, hyper detailed, majestic scale"
a warrior in floating island,"(warrior:1.25) in floating island, Renaissance style, vibrant colors, 8k resolution, muted tones, dramatic shadows, soft bokeh"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Photoreal style, sharp focus, dramatic shadows, intricate textures, muted tones"
a scientist in frozen tundra,"(scientist:1.25) in frozen tundra, Vaporwave style, ray traced, masterpiece quality, 8k resolution, unreal engine 5"
a nomad in ancient ruins,"(nomad:1.25) in ancient ruins, Photoreal style, soft bokeh, 8k resolution, ethereal atmosphere"
a nomad in mountain temple,"(nomad:1.25) in mountain temple, Steampunk style, ray traced, majestic scale, masterpiece quality, muted tones"
a astronaut in deep forest,"(astronaut:1.25) in deep forest, Vaporwave style, vibrant colors, intricate textures, 8k resolution"
a demon in volcano,"(demon:1.25) in volcano, Cinematic style, ethereal atmosphere, majestic scale, dramatic shadows, sharp focus, unreal engine 5"
a scientist in dreamscape,"(scientist:1.25) in dreamscape, Anime style, majestic scale, vibrant colors, ray traced"
a cat in volcano,"(cat:1.25) in volcano, Vaporwave style, muted tones, hyper detailed, soft bokeh, volumetric lighting"
a cat in space station,"(cat:1.25) in space station, Anime style, intricate textures, volumetric lighting, muted tones, hyper detailed"
a wizard in desert oasis,"(wizard:1.25) in desert oasis, Steampunk style, vibrant colors, 8k resolution, unreal engine 5, ray traced, sharp focus"
a queen in underwater city,"(queen:1.25) in underwater city, Cyberpunk style, majestic scale, sharp focus, dramatic shadows, masterpiece quality, hyper detailed"
a scientist in neon city,"(scientist:1.25) in neon city, Cinematic style, hyper detailed, soft bokeh, sharp focus, 8k resolution"
a monk in dreamscape,"(monk:1.25) in dreamscape, Cinematic style, unreal engine 5, octane render, ray traced"
a samurai in ancient ruins,"(samurai:1.25) in ancient ruins, Cyberpunk style, sharp focus, hyper detailed, ray traced, unreal engine 5, masterpiece quality"
a dragon in cybernetic lab,"(dragon:1.25) in cybernetic lab, Vaporwave style, hyper detailed, intricate textures, soft bokeh, dramatic shadows"
a knight in underwater city,"(knight:1.25) in underwater city, Photoreal style, ray traced, hyper detailed, 8k resolution, dramatic shadows"
a old man in space station,"(old man:1.25) in space station, Steampunk style, masterpiece quality, vibrant colors, soft bokeh"
a dragon in deep forest,"(dragon:1.25) in deep forest, Cinematic style, dramatic shadows, volumetric lighting, intricate textures, octane render"
a warrior in desert oasis,"(warrior:1.25) in desert oasis, Cyberpunk style, majestic scale, vibrant colors, dramatic shadows, soft bokeh, masterpiece quality"
a wizard in underwater city,"(wizard:1.25) in underwater city, Dark Fantasy style, dramatic shadows, soft bokeh, volumetric lighting, hyper detailed"
a knight in ancient ruins,"(knight:1.25) in ancient ruins, Minimalist style, hyper detailed, vibrant colors, volumetric lighting"
a wizard in frozen tundra,"(wizard:1.25) in frozen tundra, Photoreal style, muted tones, intricate textures, ray traced"
a monk in floating island,"(monk:1.25) in floating island, Cyberpunk style, ray traced, soft bokeh, ethereal atmosphere"
a queen in dreamscape,"(queen:1.25) in dreamscape, Photoreal style, octane render, hyper detailed, ray traced, muted tones"
a warrior in medieval village,"(warrior:1.25) in medieval village, Anime style, soft bokeh, intricate textures, masterpiece quality, octane render"
a cat in stellar nebula,"(cat:1.25) in stellar nebula, Steampunk style, ethereal atmosphere, masterpiece quality, intricate textures"
a mechanic in ancient ruins,"(mechanic:1.25) in ancient ruins, Steampunk style, intricate textures, muted tones, vibrant colors, ray traced"
a knight in medieval village,"(knight:1.25) in medieval village, Anime style, intricate textures, octane render, vibrant colors, 8k resolution, muted tones"
a dragon in floating island,"(dragon:1.25) in floating island, Minimalist style, octane render, intricate textures, ethereal atmosphere, hyper detailed"
a samurai in mars base,"(samurai:1.25) in mars base, Minimalist style, ethereal atmosphere, ray traced, intricate textures"
a samurai in medieval village,"(samurai:1.25) in medieval village, Anime style, soft bokeh, octane render, ray traced, volumetric lighting"
a robot in deep forest,"(robot:1.25) in deep forest, Dark Fantasy style, ethereal atmosphere, 8k resolution, octane render, majestic scale"
a forest spirit in deep forest,"(forest spirit:1.25) in deep forest, Anime style, sharp focus, masterpiece quality, hyper detailed, majestic scale"
a goddess in deep forest,"(goddess:1.25) in deep forest, Anime style, vibrant colors, masterpiece quality, hyper detailed, ethereal atmosphere, volumetric lighting"
a knight in mars base,"(knight:1.25) in mars base, Impressionist style, muted tones, volumetric lighting, masterpiece quality"
a nomad in stellar nebula,"(nomad:1.25) in stellar nebula, Anime style, dramatic shadows, ray traced, vibrant colors, octane render, 8k resolution"
a monk in ancient ruins,"(monk:1.25) in ancient ruins, Impressionist style, unreal engine 5, volumetric lighting, intricate textures"
a explorer in volcano,"(explorer:1.25) in volcano, Cyberpunk style, muted tones, majestic scale, dramatic shadows, ethereal atmosphere"
a goddess in underwater city,"(goddess:1.25) in underwater city, Cinematic style, ethereal atmosphere, majestic scale, sharp focus"
a goddess in desert oasis,"(goddess:1.25) in desert oasis, Steampunk style, majestic scale, masterpiece quality, muted tones, soft bokeh, dramatic shadows"
a astronaut in floating island,"(astronaut:1.25) in floating island, Vaporwave style, volumetric lighting, unreal engine 5, vibrant colors, majestic scale"
a demon in frozen tundra,"(demon:1.25) in frozen tundra, Anime style, volumetric lighting, muted tones, majestic scale, hyper detailed, octane render"
a forest spirit in volcano,"(forest spirit:1.25) in volcano, Renaissance style, muted tones, unreal engine 5, intricate textures, octane render, ethereal atmosphere"
a cat in ancient ruins,"(cat:1.25) in ancient ruins, Anime style, 8k resolution, intricate textures, octane render, ethereal atmosphere"
a astronaut in underwater city,"(astronaut:1.25) in underwater city, Steampunk style, soft bokeh, octane render, 8k resolution, muted tones"
a demon in dreamscape,"(demon:1.25) in dreamscape, Cyberpunk style, muted tones, octane render, dramatic shadows, majestic scale"
a demon in desert oasis,"(demon:1.25) in desert oasis, Vaporwave style, vibrant colors, unreal engine 5, ray traced, muted tones, intricate textures"
a scientist in floating island,"(scientist:1.25) in floating island, Steampunk style, volumetric lighting, sharp focus, vibrant colors, hyper detailed, octane render"
